framework,scenario,concurrency,repetition,requests,success,error_rate,elapsed_s_est,requests_per_s,output_tokens_per_s,total_tokens_per_s,latency_p50_ms,latency_p95_ms,latency_p99_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,output_tokens_mean,json_valid_rate
sglang_tp2,latency_256_128,1,1,32,32,0.0,55.12020103307441,0.5805494065741645,74.31032404149306,222.93097212447918,1718.9721898175776,1723.3392231399193,1726.8666178453714,31.08817618340254,33.27778603415936,35.10585815645754,128,
sglang_tp2,latency_256_128,1,2,32,32,0.0,57.090582967270166,0.5605127559889429,71.74563276658469,215.23689829975405,1735.270604956895,1907.0651142392308,1911.0379935521632,31.977812759578228,35.056058201007545,35.20291782915592,128,
sglang_tp2,latency_256_128,1,3,32,32,0.0,55.34724562196061,0.5781678860511006,74.00548941454088,222.01646824362265,1726.6445141285658,1729.5781494583935,1729.8541418649256,31.418890226632357,34.37287674751133,35.83119812421501,128,
sglang_tp2,chat_512_256,1,1,128,128,0.0,448.59670302597806,0.2853342415059782,73.04556582553042,219.13669747659125,3498.153197579086,3517.833856283687,3524.0667734015733,29.80395802296698,33.267785515636206,59.51335477642716,256,
sglang_tp2,chat_512_256,1,2,128,128,0.0,448.74189532827586,0.28524192042813823,73.02193162960339,219.06579488881016,3499.0748544223607,3514.593036356382,3516.035779430531,29.766589403152466,31.928500835783776,33.09678630903363,256,
sglang_tp2,chat_512_256,1,3,128,128,0.0,449.6949471733533,0.2846373987623596,72.86717408316406,218.60152224949218,3505.864901235327,3520.1903250301257,3522.275080573745,29.756939969956875,31.9414077559486,32.41941205225885,256,
sglang_tp2,chat_512_256,2,1,128,128,0.0,240.1762513620779,0.5329419510634026,136.43313947223106,409.2994184166932,3747.1320210024714,3752.9298450797796,3753.662121249363,46.38022487051785,49.3279856396839,50.87033146992326,256,
sglang_tp2,chat_512_256,2,2,128,128,0.0,239.92980740126222,0.5334893625198093,136.57327680507117,409.7198304152135,3742.732841987163,3745.759670739062,3748.467366877012,46.69909505173564,49.33148541022092,50.982451597228646,256,
sglang_tp2,chat_512_256,2,3,128,128,0.0,239.86417851224542,0.5336353297683648,136.6106444207014,409.83193326210414,3741.6885488200933,3745.6167169148102,3747.357886992395,46.71763605438173,49.660249310545616,51.46826825104654,256,
sglang_tp2,chat_512_256,4,1,128,128,0.0,122.52174157788977,1.0447125412319378,267.4464105553761,802.3392316661283,3820.25447813794,3824.9924189411104,3829.123089709319,55.187412071973085,59.91918984800577,62.46175637934357,256,
sglang_tp2,chat_512_256,4,2,128,128,0.0,122.55375459836796,1.0444396454395088,267.37654923251426,802.1296476975427,3820.738134207204,3825.8606364484876,3831.436263937503,55.34851783886552,60.11027239728719,63.395330123603344,256,
sglang_tp2,chat_512_256,4,3,128,128,0.0,122.50865585496649,1.0448241318681555,267.4749777582478,802.4249332747435,3820.1450656633824,3830.9866664698347,3833.4799173288047,55.26745109818876,60.7902524061501,63.43038903083652,256,
sglang_tp2,chat_512_256,8,1,128,128,0.0,67.02785000391304,1.9096539720806716,488.8714168526519,1466.6142505579558,4171.767964493483,4184.280224377289,4190.239051384851,70.49986417405307,83.5406674304977,85.16315001063049,256,
sglang_tp2,chat_512_256,8,2,128,128,0.0,67.03453268297017,1.9094635984911974,488.82268121374653,1466.4680436412395,4171.85304290615,4196.38742452953,4212.611399530433,70.44488284736872,83.8655763771385,87.75300262495875,256,
sglang_tp2,chat_512_256,8,3,128,128,0.0,67.02093841321766,1.909850906754183,488.9218321290708,1466.7654963872124,4173.4218809287995,4191.995742288418,4197.880056239665,69.80367260985076,83.06754322256893,86.7617955757305,256,
sglang_tp2,chat_512_256,16,1,128,128,0.0,36.22265170188621,3.5337004329071444,904.627310824229,2713.881932472687,4490.8595769666135,4554.947237391025,4569.324727179483,111.32667982019484,143.21555912028998,147.2414853796363,256,
sglang_tp2,chat_512_256,16,2,128,128,0.0,36.23406243277714,3.5325876097241555,904.3424280893838,2713.0272842681516,4497.195604722947,4563.017543451861,4584.542935518548,114.60742796771228,148.6789364600554,153.6087528290227,256,
sglang_tp2,chat_512_256,16,3,128,128,0.0,37.81271043373272,3.3851051281902076,866.5869128166931,2599.7607384500798,4506.566129392013,5933.140547410585,5963.005412118509,112.44851676747203,144.12262756377459,147.68654835410416,256,
sglang_tp2,chat_512_256,24,1,128,128,0.0,28.251155583187938,4.530788116722981,1160.7312806529687,3480.4947964151347,4779.543996788561,4860.301690525375,4884.727025316097,149.6651682537049,189.22022299375385,207.63766086660326,256.1875,
sglang_tp2,chat_512_256,24,2,128,128,0.0,28.280749786645174,4.52604690348219,1159.5166410858435,3476.8526556687248,4783.932535676286,4838.966730702668,4849.952701870352,149.85168795101345,191.54277574270964,204.9962032167241,256.1875,
sglang_tp2,chat_512_256,24,3,128,128,0.0,28.296673579141498,4.523499896268848,1158.8641296753754,3474.8960765650254,4783.7515629362315,4859.100760961883,4881.865409347229,155.47272260300815,199.68409901484844,208.00832462031394,256.1875,
sglang_tp2,chat_512_256,32,1,128,128,0.0,37.88948719389737,3.3782457742161314,864.8837032895517,2594.5455396882107,9463.465149281546,9603.133945306763,9696.36555571109,219.06439494341612,588.1571581354364,645.1346850767732,256.015625,
sglang_tp2,chat_512_256,32,2,128,128,0.0,38.314058046322316,3.3408103063696863,855.2474384306397,2565.742315291919,9493.045588489622,9792.326594796032,9802.971474952064,241.4812829811126,376.7862175125628,391.0079965321347,256,
sglang_tp2,chat_512_256,32,3,128,128,0.0,38.210662795230746,3.3498502940382466,857.5616752737911,2572.685025821373,9478.442536201328,9626.951566641219,9659.307443178259,204.10107541829348,289.27275077439845,332.70785639528196,256,
sglang_tp2,chat_512_256,48,1,128,128,0.0,29.325453252065927,4.3648089221257855,1118.0730854582832,3352.8552535866856,9739.151291316375,10050.411541969515,10086.754812328145,285.6102760415524,521.8953054165466,577.7294124662877,256.15625,
