label,gpu_index,samples,gpu_util_avg_pct,gpu_util_peak_pct,memory_peak_mib,power_avg_w,temperature_peak_c
sglang_tp2_detailed_8192fix,0,19150,64.6891,100.0000,22150.0000,251.1781,89.0000
sglang_tp2_detailed_8192fix,1,19150,65.0397,100.0000,21938.0000,242.7664,65.0000
