framework,scenario,concurrency,repetition,requests,success,error_rate,elapsed_s_est,requests_per_s,output_tokens_per_s,total_tokens_per_s,latency_p50_ms,latency_p95_ms,latency_p99_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,output_tokens_mean,json_valid_rate
modelscope_swift,latency_256_128,1,1,32,32,0.0,147.47725024120882,0.21698261899826501,28.20774046977445,83.75529093333029,4596.3498402852565,4689.7294828202575,4708.55313653592,15.428262297064066,17.72876305039972,18.825482497923076,130,
modelscope_swift,latency_256_128,1,2,32,32,0.0,147.04869832098484,0.21761498310001282,28.289947803001667,83.99938347660495,4590.128637384623,4674.707053368911,4704.120011557825,14.695658581331372,18.07648807298392,19.462947482243184,130,
modelscope_swift,latency_256_128,1,3,32,32,0.0,147.14592491509393,0.21747119411199886,28.271255234559852,83.94388092723156,4596.69374441728,4673.714041127823,4684.474844965152,15.126375015825033,17.33277451712638,18.170536076650023,130,
modelscope_swift,chat_512_256,4,1,128,128,0.0,1169.0974167441018,0.10948617126917946,28.269671565987352,84.32659125580723,36541.67172941379,36858.96540067624,36965.84412638098,27399.49263143353,27698.34569413215,27778.509545875713,258.203125,
modelscope_swift,chat_512_256,4,2,128,128,0.0,1171.29258394707,0.10928097877018937,28.216690221521553,84.16855135185851,36566.790962126106,36904.712859215215,37023.82523114793,27443.409448489547,27740.497654257342,27775.57679156307,258.203125,
modelscope_swift,chat_512_256,4,3,128,128,0.0,1172.7580770519562,0.10914441989754829,28.181430293859147,84.06337328140387,36623.84803243913,36917.550242249854,37023.09870518278,27503.186250803992,27776.44946121145,27834.464461300522,258.203125,
modelscope_swift,chat_512_256,8,1,128,128,0.0,1175.990882822778,0.10884438125298766,28.10395937821283,83.83228257974251,73442.27857491933,73940.82578732632,74028.44302817713,64291.75209137611,64715.00381056685,64879.77119938005,258.203125,
modelscope_swift,chat_512_256,8,2,128,128,0.0,1171.9460473856889,0.10922004497181008,28.200956924361897,84.12161994992866,73203.12189939432,73518.65894987714,73587.54861479625,64069.627000251785,64362.687417375855,64405.16673882026,258.203125,
modelscope_swift,chat_512_256,8,3,128,128,0.0,1171.18839380797,0.10929070051985769,28.21920040766638,84.17603907383352,73179.47545950301,73431.92319050431,73491.20699127205,64063.478047028184,64297.135900869034,64359.53874180559,258.203125,
modelscope_swift,chat_512_256,16,1,128,128,0.0,1175.5793486167677,0.10888248432622585,28.113797710795033,83.86162968582266,146965.28114913963,147502.48398953117,147624.52920995187,137782.83250820823,138342.25154248998,138426.37453433126,258.203125,
modelscope_swift,chat_512_256,16,2,128,128,0.0,1180.8055762983859,0.10840057209185706,27.98936646590528,83.4904593769361,147535.14544898644,148191.83167149313,148282.19810798764,138328.36837600917,138927.4337109411,139047.89586034138,258.203125,
modelscope_swift,chat_512_256,16,3,128,128,0.0,1178.4489565286785,0.10861734765080172,28.045338592648413,83.65742058985889,147267.90247042663,148080.43632104527,148303.70531015098,138064.81047789566,138933.43874001876,139101.73155544326,258.203125,
